id,camera_view_id,company,date,day_of_week,location,mood,time_of_day,weather
182,182,alone,2024-12-07 15:57:52.202,Saturday,home,bored,afternoon,rainy
183,183,alone,2024-12-07 15:58:12.493,Saturday,home,bored,afternoon,rainy
184,184,alone,2024-12-07 15:58:28.098,Saturday,home,bored,afternoon,rainy
185,185,alone,2024-12-07 15:58:38.062,Saturday,home,bored,afternoon,rainy
186,186,alone,2024-12-07 15:58:50.172,Saturday,home,bored,afternoon,rainy
187,187,alone,2024-12-07 15:59:00.156,Saturday,home,bored,afternoon,rainy
188,188,alone,2024-12-07 15:59:24.565,Saturday,home,bored,afternoon,rainy
189,189,alone,2024-12-07 15:59:40.139,Saturday,home,bored,afternoon,rainy
190,190,alone,2024-12-07 15:59:47.689,Saturday,home,bored,afternoon,rainy
191,191,alone,2024-12-07 16:00:21.082,Saturday,home,bored,evening,rainy
192,192,alone,2024-12-07 16:00:31.981,Saturday,home,bored,evening,rainy
193,193,alone,2024-12-07 16:00:46.843,Saturday,home,bored,evening,rainy
194,194,alone,2024-12-07 16:01:01.755,Saturday,home,bored,evening,rainy
195,195,alone,2024-12-07 16:01:10.778,Saturday,home,bored,evening,rainy
197,197,alone,2024-12-07 16:01:30.316,Saturday,home,bored,evening,rainy
198,198,alone,2024-12-07 16:01:47.942,Saturday,home,bored,evening,rainy
199,199,alone,2024-12-07 16:01:59.089,Saturday,home,bored,evening,rainy
200,200,alone,2024-12-07 16:02:10.303,Saturday,home,bored,evening,rainy
201,201,alone,2024-12-07 16:02:27.226,Saturday,home,bored,evening,rainy
2893,2893,alone,2025-02-09 21:58:44.298,Sunday,home,relaxed,night,dark
204,204,alone,2024-12-08 19:44:07.856,Sunday,home,relaxed,evening,cloudy
205,205,alone,2024-12-08 19:47:48.502,Sunday,home,relaxed,evening,cloudy
1575,-1,partner,2025-02-03 20:17:04.056,Monday,home,bored,night,dark
206,206,alone,2024-12-08 19:51:31.59,Sunday,home,relaxed,evening,cloudy
207,207,alone,2024-12-08 19:55:38.828,Sunday,home,relaxed,evening,cloudy
208,208,alone,2024-12-08 19:58:46.031,Sunday,home,relaxed,evening,cloudy
209,209,alone,2024-12-08 20:04:58.871,Sunday,home,bored,night,cloudy
210,210,alone,2024-12-08 20:08:45.267,Sunday,home,indifferent,night,cloudy
211,211,alone,2024-12-08 20:11:40.595,Sunday,home,indifferent,night,cloudy
212,212,alone,2024-12-08 20:15:42.882,Sunday,home,bored,night,cloudy
213,213,alone,2024-12-08 20:19:43.243,Sunday,home,indifferent,night,cloudy
214,214,alone,2024-12-08 20:23:02.139,Sunday,home,indifferent,night,cloudy
215,215,alone,2024-12-08 20:27:44.46,Sunday,home,relaxed,night,cloudy
216,216,alone,2024-12-08 20:33:17.182,Sunday,home,relaxed,night,cloudy
217,217,alone,2024-12-08 20:37:30.592,Sunday,home,relaxed,night,cloudy
218,218,alone,2024-12-08 20:42:39.025,Sunday,home,relaxed,night,cloudy
219,219,alone,2024-12-08 20:46:09.442,Sunday,home,bored,night,cloudy
220,220,alone,2025-01-09 19:38:12.096,Thursday,home,relaxed,evening,windy
221,221,alone,2025-01-09 19:38:40.095,Thursday,home,relaxed,evening,windy
222,222,alone,2025-01-09 19:38:58.792,Thursday,home,relaxed,evening,windy
223,223,alone,2025-01-09 19:39:08.711,Thursday,home,relaxed,evening,windy
224,224,alone,2025-01-09 19:39:21.651,Thursday,home,relaxed,evening,windy
225,225,alone,2025-01-09 19:39:37.084,Thursday,home,relaxed,evening,windy
226,226,alone,2025-01-09 19:39:52.687,Thursday,home,relaxed,evening,windy
227,227,alone,2025-01-09 19:40:27.063,Thursday,home,relaxed,evening,windy
228,228,alone,2025-01-09 19:41:15.686,Thursday,outside,relaxed,evening,sunny
229,229,alone,2025-01-09 19:41:33.733,Thursday,outside,happy,evening,sunny
230,230,alone,2025-01-09 19:41:42.598,Thursday,outside,happy,evening,sunny
231,231,alone,2025-01-09 19:41:55.076,Thursday,outside,happy,evening,sunny
232,232,alone,2025-01-09 19:42:04.347,Thursday,outside,happy,evening,sunny
233,233,alone,2025-01-09 19:42:12.736,Thursday,outside,happy,evening,sunny
234,234,alone,2025-01-09 19:42:36.802,Thursday,home,happy,evening,sunny
235,-1,alone,2025-01-09 19:59:43.83,Thursday,home,relaxed,evening,rainy
236,-1,alone,2025-01-09 20:00:14.015,Thursday,home,relaxed,night,rainy
237,-1,alone,2025-01-09 20:00:31.763,Thursday,home,relaxed,night,rainy
238,-1,alone,2025-01-09 20:00:43.133,Thursday,home,relaxed,night,rainy
239,-1,alone,2025-01-09 20:01:02.832,Thursday,home,relaxed,night,rainy
240,-1,alone,2025-01-09 20:01:30.018,Thursday,home,relaxed,night,rainy
241,-1,alone,2025-01-09 20:01:59.897,Thursday,home,relaxed,night,rainy
2894,-1,alone,2025-02-09 22:59:20.163,Sunday,home,anxious,night,dark
243,-1,alone,2025-01-10 19:59:19.762,Friday,home,indifferent,evening,rainy
244,-1,alone,2025-01-10 20:00:27.804,Friday,home,indifferent,night,rainy
245,-1,alone,2025-01-10 20:02:02.95,Friday,home,indifferent,night,rainy
246,-1,alone,2025-01-10 20:02:38.99,Friday,home,indifferent,night,rainy
247,-1,alone,2025-01-10 20:03:55.309,Friday,home,indifferent,night,rainy
248,-1,alone,2025-01-10 20:04:23.132,Friday,home,indifferent,night,rainy
249,-1,alone,2025-01-10 20:05:08.939,Friday,home,indifferent,night,rainy
250,-1,alone,2025-01-10 20:06:15.659,Friday,home,indifferent,night,rainy
251,-1,alone,2025-01-10 20:06:54.131,Friday,home,indifferent,night,rainy
252,-1,alone,2025-01-10 20:07:08.861,Friday,home,indifferent,night,rainy
253,-1,alone,2025-01-10 20:07:35.199,Friday,home,indifferent,night,rainy
254,-1,alone,2025-01-10 20:07:54.342,Friday,home,indifferent,night,rainy
255,-1,alone,2025-01-10 20:08:31.17,Friday,home,indifferent,night,rainy
256,-1,alone,2025-01-10 20:08:44.83,Friday,home,indifferent,night,rainy
257,-1,alone,2025-01-10 20:08:57.101,Friday,home,indifferent,night,rainy
258,-1,alone,2025-01-10 20:09:11.998,Friday,home,indifferent,night,rainy
259,-1,alone,2025-01-10 20:09:24.225,Friday,home,indifferent,night,rainy
260,-1,alone,2025-01-10 20:09:38.793,Friday,home,indifferent,night,rainy
261,-1,alone,2025-01-10 20:10:10.985,Friday,home,indifferent,night,rainy
262,-1,alone,2025-01-10 20:10:30.121,Friday,home,indifferent,night,rainy
